segment_name,customers,churn_rate,avg_recency,avg_frequency,avg_monetary,avg_campaign_cost
Loyal but at risk,111,0.8918918918918919,187.83783783783784,4.936936936936937,4157.673603603604,17.63963963963964
Dormant,53,0.8490566037735849,206.52830188679246,2.018867924528302,1458.1100000000001,18.566037735849058
Discount hunters,542,0.5313653136531366,88.91328413284133,2.4833948339483394,1573.873487084871,18.04428044280443
Maintain,1176,0.4880952380952381,96.71938775510205,3.011904761904762,2292.088928571429,18.75595238095238
Support-stressed,231,0.42857142857142855,46.6017316017316,3.1991341991341993,2522.3661904761902,17.666666666666668
Champions,287,0.07665505226480836,18.146341463414632,6.463414634146342,5049.440940766551,19.034843205574912
